,larva(0),larva(1),larva(2),larva(3),larva(4),larva(7),larva(9)
mom_x(290),653,225,683,885,97,440,917
mom_x(291),653,225,683,886,97,440,917
mom_x(292),654,224,683,886,97,440,917
mom_x(293),654,223,683,886,97,440,917
mom_x(294),654,223,683,887,97,441,918
mom_x(295),654,223,683,887,97,441,918
mom_x(296),654,222,683,887,97,440,918
mom_x(297),655,222,684,887,97,441,919
mom_x(298),655,222,684,887,97,440,919
mom_x(299),655,222,684,887,98,439,918
mom_x(300),656,222,684,887,98,439,918
mom_x(301),656,222,684,888,98,440,918
mom_x(302),657,222,684,888,98,440,918
mom_x(303),657,222,684,888,98,440,918
mom_x(304),657,221,683,888,98,439,918
mom_x(305),657,221,683,889,98,439,918
mom_x(306),657,221,684,889,98,439,918
mom_x(307),658,221,684,889,98,440,918
mom_x(308),658,221,684,889,98,440,918
mom_x(309),659,221,684,889,97,440,918
mom_x(310),659,221,684,889,97,440,918
mom_x(311),659,221,684,889,97,440,918
mom_x(312),659,221,684,890,97,439,918
mom_x(313),660,222,684,890,98,439,918
mom_x(314),660,223,684,890,98,440,919
mom_x(315),660,223,684,890,98,440,919
mom_x(316),661,224,685,891,98,440,919
mom_x(317),662,224,685,891,98,440,919
mom_x(318),662,224,685,891,98,440,919
mom_x(319),662,225,685,891,98,440,919
mom_x(320),663,224,685,891,98,440,919
mom_x(321),663,224,685,891,98,440,918
mom_x(322),663,223,685,891,98,440,919
mom_x(323),664,223,686,891,98,440,919
mom_x(324),664,224,686,891,98,440,919
mom_x(325),664,224,686,891,98,440,919
mom_x(326),665,225,685,891,97,440,918
mom_x(327),665,225,686,890,98,440,918
mom_x(328),666,225,686,890,98,440,918
mom_x(329),666,226,686,890,98,440,919
mom_x(330),666,226,686,890,98,440,919
mom_x(331),667,226,686,890,98,440,919
mom_x(332),668,227,687,890,98,440,919
mom_x(333),668,228,687,890,98,441,919
mom_x(334),668,228,687,890,98,440,919
mom_x(335),669,228,687,891,98,440,919
mom_x(336),669,229,687,891,98,440,919
mom_x(337),669,229,688,891,98,440,919
mom_x(338),670,229,688,891,98,440,919
mom_x(339),670,230,688,891,98,440,919
mom_x(340),671,230,688,891,98,441,919
mom_x(341),671,230,688,890,98,441,919
mom_x(342),671,230,688,890,98,441,919
mom_x(343),671,231,688,890,98,441,919
mom_x(344),672,231,689,890,98,441,919
mom_x(345),672,231,689,890,98,441,919
mom_x(346),673,232,690,890,99,441,919
mom_x(347),673,232,690,890,99,441,919
mom_x(348),674,232,690,890,99,441,919
mom_x(349),674,233,690,890,99,441,919
mom_x(350),675,233,690,890,99,441,919
mom_x(351),675,233,690,889,99,441,919
mom_x(352),675,233,691,889,99,441,919
mom_x(353),675,234,691,889,99,441,919
mom_x(354),676,234,691,889,98,441,919
mom_x(355),677,234,692,889,98,441,919
mom_x(356),678,235,692,888,99,441,919
mom_x(357),679,236,693,888,99,441,919
mom_x(358),679,237,693,888,99,441,919
mom_x(359),679,238,693,888,99,441,919
mom_x(360),680,238,694,888,99,441,919
mom_x(361),681,239,693,889,99,441,919
mom_x(362),681,239,694,889,99,441,919
mom_x(363),682,239,694,889,99,441,919
mom_x(364),682,239,694,890,99,441,919
mom_x(365),683,240,694,890,99,441,919
mom_x(366),683,240,695,891,100,442,919
mom_x(367),684,241,695,892,100,442,919
mom_x(368),684,241,695,892,100,442,919
mom_x(369),684,242,695,892,100,442,920
mom_x(370),685,242,695,893,100,442,919
mom_x(371),685,243,696,893,100,442,920
mom_x(372),685,244,696,894,100,443,920
mom_x(373),685,244,696,894,100,442,920
mom_x(374),685,244,696,894,100,442,920
mom_x(375),686,244,697,895,100,442,920
mom_x(376),686,244,697,895,100,442,920
mom_x(377),687,244,697,895,100,442,920
mom_x(378),687,245,697,895,100,442,920
mom_x(379),688,244,697,895,100,442,920
mom_x(380),688,245,697,896,101,442,920
mom_x(381),688,245,697,896,101,442,920
mom_x(382),688,246,698,895,101,442,920
mom_x(383),688,246,698,895,101,442,920
mom_x(384),688,246,698,896,101,442,920
mom_x(385),688,247,698,896,101,442,920
mom_x(386),689,247,699,896,101,442,920
mom_x(387),690,248,699,897,101,442,920
mom_x(388),690,248,699,896,100,442,920
mom_x(389),691,249,699,895,100,443,921
mom_x(390),691,249,700,896,100,443,921
mom_x(391),691,249,700,895,99,443,920
mom_x(392),692,249,700,896,99,444,920
mom_x(393),692,249,700,896,99,444,920
mom_x(394),692,250,700,898,99,444,920
mom_x(395),693,250,700,899,99,444,920
mom_x(396),693,250,701,899,99,444,920
mom_x(397),694,250,701,899,99,443,920
mom_x(398),694,251,701,898,99,443,920
mom_x(399),694,251,701,899,98,443,920
mom_x(400),694,252,701,899,99,442,920
mom_x(401),694,252,701,899,98,442,920
mom_x(402),695,253,702,899,98,442,920
mom_x(403),695,253,701,900,98,441,920
mom_x(404),696,253,702,901,98,441,920
mom_x(405),697,253,702,901,98,441,920
mom_x(406),697,254,702,901,99,441,920
mom_x(407),697,255,702,901,99,442,919
mom_x(408),697,255,702,900,99,442,919
mom_x(409),698,256,702,900,100,442,920
mom_x(410),698,256,701,900,100,443,920
mom_x(411),698,256,700,900,99,443,919
mom_x(412),698,257,700,900,99,444,920
mom_x(413),699,257,700,901,99,444,919
mom_x(414),700,257,699,901,98,444,919
mom_x(415),700,257,699,901,98,444,919
mom_x(416),700,258,698,902,98,444,919
mom_x(417),701,259,697,903,98,444,919
mom_x(418),701,259,696,903,98,444,919
mom_x(419),701,260,696,904,97,443,919
mom_x(420),701,261,696,903,97,442,919
mom_x(421),702,261,696,904,98,442,919
mom_x(422),703,261,697,904,98,442,919
mom_x(423),704,261,697,904,98,441,919
mom_x(424),704,261,697,904,98,441,919
mom_x(425),704,261,697,905,98,441,919
mom_x(426),705,262,697,906,97,441,918
mom_x(427),705,263,697,906,97,441,918
mom_x(428),705,263,697,906,97,441,919
mom_x(429),706,264,696,906,97,442,918
mom_x(430),707,265,696,906,96,442,918
mom_x(431),707,265,696,907,96,442,918
mom_x(432),708,265,696,907,96,443,918
mom_x(433),709,265,696,907,96,443,918
mom_x(434),710,265,696,907,96,443,918
mom_x(435),711,266,697,908,96,444,918
mom_x(436),712,267,697,909,96,444,918
mom_x(437),713,267,697,909,96,444,918
mom_x(438),713,268,697,909,96,444,918
mom_x(439),713,268,697,909,96,443,918
mom_x(440),714,269,697,909,96,443,918
mom_x(441),715,269,697,910,96,443,918
mom_x(442),715,269,697,910,96,442,917
mom_x(443),715,269,697,910,96,442,917
mom_x(444),716,269,697,910,95,442,917
mom_x(445),716,269,697,911,95,442,917
mom_x(446),717,270,697,910,95,442,917
mom_x(447),718,270,697,911,95,442,917
mom_x(448),719,271,697,911,95,442,917
mom_x(449),719,272,696,911,95,442,916
mom_x(450),720,272,696,911,95,443,916
mom_x(451),720,272,696,911,95,443,916
mom_x(452),721,273,696,911,94,443,916
mom_x(453),721,273,695,910,94,444,916
mom_x(454),722,273,695,909,94,444,916
mom_x(455),723,273,695,909,94,444,917
mom_x(456),723,274,695,909,94,444,917
mom_x(457),723,275,694,909,94,444,916
mom_x(458),724,275,694,911,94,444,916
mom_x(459),724,276,693,909,94,444,916
mom_x(460),723,276,693,909,94,444,915
mom_x(461),723,277,693,908,94,444,915
mom_x(462),722,277,692,908,93,444,915
mom_x(463),722,277,692,908,93,444,915
mom_x(464),721,277,691,910,93,444,916
mom_x(465),720,277,691,911,93,444,916
mom_x(466),720,278,690,911,93,444,916
mom_x(467),720,279,690,911,93,444,916
mom_x(468),719,279,690,912,92,444,916
mom_x(469),719,279,690,911,92,444,916
mom_x(470),719,280,690,911,93,444,916
mom_x(471),719,281,689,912,92,444,916
mom_x(472),719,281,689,911,92,444,916
mom_x(473),718,281,689,911,92,444,915
mom_x(474),718,281,689,912,92,445,916
mom_x(475),718,281,688,912,92,445,915
mom_x(476),718,281,689,911,91,445,915
mom_x(477),718,282,689,911,91,445,915
mom_x(478),717,282,689,911,91,445,915
mom_x(479),718,283,689,911,91,445,915
mom_x(480),718,283,689,911,91,445,915
mom_x(481),718,283,688,911,91,445,915
mom_x(482),718,283,688,911,91,445,915
mom_x(483),718,284,687,912,90,445,915
mom_x(484),718,284,687,912,90,445,915
