,larva(1),larva(4),larva(6)
mom_x(319),1100,1228,930
mom_x(320),1101,1229,931
mom_x(321),1101,1229,931
mom_x(322),1101,1229,932
mom_x(323),1101,1230,933
mom_x(324),1101,1230,934
mom_x(325),1102,1230,934
mom_x(326),1103,1231,934
mom_x(327),1103,1232,934
mom_x(328),1103,1233,934
mom_x(329),1104,1234,935
mom_x(330),1104,1235,936
mom_x(331),1104,1236,937
mom_x(332),1104,1236,937
mom_x(333),1104,1236,937
mom_x(334),1104,1236,937
mom_x(335),1104,1237,938
mom_x(336),1104,1239,939
mom_x(337),1103,1239,939
mom_x(338),1103,1240,940
mom_x(339),1103,1241,941
mom_x(340),1103,1242,941
mom_x(341),1103,1242,941
mom_x(342),1103,1242,940
mom_x(343),1103,1242,941
mom_x(344),1103,1243,942
mom_x(345),1102,1244,942
mom_x(346),1102,1244,944
mom_x(347),1102,1245,945
mom_x(348),1102,1246,944
mom_x(349),1102,1247,944
mom_x(350),1102,1248,945
mom_x(351),1103,1248,945
mom_x(352),1103,1248,945
mom_x(353),1103,1248,946
mom_x(354),1103,1248,946
mom_x(355),1103,1249,946
mom_x(356),1103,1250,946
mom_x(357),1103,1250,947
mom_x(358),1103,1252,947
mom_x(359),1103,1253,948
mom_x(360),1103,1253,949
mom_x(361),1103,1253,949
mom_x(362),1102,1254,948
mom_x(363),1102,1254,949
mom_x(364),1103,1254,949
mom_x(365),1103,1255,949
mom_x(366),1103,1256,949
mom_x(367),1103,1256,951
mom_x(368),1103,1257,951
mom_x(369),1103,1258,951
mom_x(370),1103,1259,951
mom_x(371),1104,1259,951
mom_x(372),1104,1259,951
mom_x(373),1104,1259,951
mom_x(374),1105,1260,951
mom_x(375),1105,1260,951
mom_x(376),1105,1262,951
mom_x(377),1105,1263,950
mom_x(378),1105,1263,950
mom_x(379),1105,1263,949
mom_x(380),1106,1264,949
mom_x(381),1107,1264,948
mom_x(382),1107,1265,948
mom_x(383),1107,1265,948
mom_x(384),1108,1266,948
mom_x(385),1109,1266,948
mom_x(386),1110,1266,948
mom_x(387),1111,1266,948
mom_x(388),1111,1267,948
mom_x(389),1110,1267,948
mom_x(390),1111,1267,948
mom_x(391),1111,1266,948
mom_x(392),1112,1266,948
mom_x(393),1113,1266,948
mom_x(394),1114,1265,948
mom_x(395),1115,1265,948
mom_x(396),1116,1266,948
mom_x(397),1116,1266,949
mom_x(398),1116,1266,948
mom_x(399),1116,1267,948
mom_x(400),1117,1266,948
mom_x(401),1118,1267,949
mom_x(402),1120,1268,949
mom_x(403),1120,1268,949
mom_x(404),1120,1269,950
mom_x(405),1121,1271,950
mom_x(406),1121,1271,951
mom_x(407),1121,1271,951
mom_x(408),1121,1272,951
mom_x(409),1122,1272,952
mom_x(410),1122,1272,952
mom_x(411),1122,1273,953
mom_x(412),1123,1274,953
mom_x(413),1123,1275,954
mom_x(414),1123,1276,954
mom_x(415),1124,1278,954
mom_x(416),1125,1279,955
mom_x(417),1125,1279,955
mom_x(418),1125,1280,956
mom_x(419),1125,1280,957
mom_x(420),1125,1281,957
mom_x(421),1125,1282,957
mom_x(422),1125,1283,957
mom_x(423),1126,1283,957
mom_x(424),1127,1284,957
mom_x(425),1127,1285,958
mom_x(426),1128,1286,959
mom_x(427),1129,1286,960
mom_x(428),1129,1287,960
mom_x(429),1129,1287,960
mom_x(430),1130,1288,961
mom_x(431),1130,1290,961
mom_x(432),1130,1291,962
mom_x(433),1131,1291,963
mom_x(434),1131,1292,963
mom_x(435),1132,1293,963
mom_x(436),1132,1293,963
mom_x(437),1132,1294,963
mom_x(438),1133,1294,964
mom_x(439),1134,1295,965
mom_x(440),1134,1296,966
mom_x(441),1134,1297,967
mom_x(442),1134,1297,967
mom_x(443),1134,1298,967
mom_x(444),1135,1299,968
mom_x(445),1136,1300,969
mom_x(446),1136,1301,970
mom_x(447),1137,1301,971
mom_x(448),1137,1301,971
mom_x(449),1138,1302,971
mom_x(450),1138,1303,971
mom_x(451),1138,1304,971
mom_x(452),1136,1305,972
mom_x(453),1137,1306,973
mom_x(454),1137,1307,974
mom_x(455),1139,1307,975
mom_x(456),1140,1308,974
mom_x(457),1140,1309,975
mom_x(458),1139,1309,975
mom_x(459),1140,1310,975
mom_x(460),1139,1311,976
mom_x(461),1140,1312,977
mom_x(462),1140,1313,977
mom_x(463),1141,1313,977
mom_x(464),1142,1315,977
mom_x(465),1142,1316,977
mom_x(466),1142,1316,977
mom_x(467),1142,1317,978
mom_x(468),1142,1317,979
mom_x(469),1142,1318,979
mom_x(470),1143,1319,979
mom_x(471),1143,1319,979
mom_x(472),1143,1320,979
mom_x(473),1143,1322,980
mom_x(474),1144,1323,981
mom_x(475),1144,1324,982
mom_x(476),1144,1324,982
mom_x(477),1145,1325,983
mom_x(478),1145,1325,983
mom_x(479),1144,1326,983
mom_x(480),1145,1327,983
mom_x(481),1145,1328,984
mom_x(482),1145,1328,984
mom_x(483),1145,1329,985
mom_x(484),1146,1330,985
mom_x(485),1146,1331,985
mom_x(486),1146,1332,986
mom_x(487),1146,1332,986
mom_x(488),1145,1333,987
mom_x(489),1146,1333,987
mom_x(490),1146,1334,989
mom_x(491),1146,1335,989
mom_x(492),1146,1335,989
mom_x(493),1146,1337,989
mom_x(494),1146,1338,990
mom_x(495),1145,1339,990
mom_x(496),1145,1339,991
mom_x(497),1145,1339,992
mom_x(498),1145,1340,993
mom_x(499),1145,1341,993
mom_x(500),1145,1343,993
mom_x(501),1145,1343,993
mom_x(502),1146,1344,994
mom_x(503),1146,1345,994
mom_x(504),1146,1346,994
mom_x(505),1146,1347,994
mom_x(506),1146,1347,994
mom_x(507),1146,1347,994
mom_x(508),1146,1348,995
mom_x(509),1146,1349,995
mom_x(510),1146,1350,995
mom_x(511),1146,1351,995
mom_x(512),1147,1352,993
mom_x(513),1147,1353,992
mom_x(514),1148,1354,991
mom_x(515),1148,1354,991
mom_x(516),1148,1355,991
mom_x(517),1147,1355,991
mom_x(518),1146,1356,991
mom_x(519),1147,1356,991
mom_x(520),1147,1358,991
mom_x(521),1147,1359,991
mom_x(522),1147,1360,991
mom_x(523),1147,1361,991
mom_x(524),1148,1362,991
mom_x(525),1147,1362,991
mom_x(526),1147,1363,991
mom_x(527),1146,1364,991
mom_x(528),1147,1365,992
mom_x(529),1148,1367,992
mom_x(530),1148,1367,992
mom_x(531),1148,1368,992
mom_x(532),1148,1369,993
mom_x(533),1148,1369,993
mom_x(534),1148,1370,994
mom_x(535),1148,1370,994
mom_x(536),1148,1371,994
mom_x(537),1149,1373,994
mom_x(538),1149,1374,994
mom_x(539),1149,1375,995
mom_x(540),1149,1376,995
mom_x(541),1150,1376,996
mom_x(542),1150,1377,996
mom_x(543),1150,1377,996
mom_x(544),1150,1378,997
mom_x(545),1151,1379,997
mom_x(546),1151,1380,998
mom_x(547),1151,1380,998
mom_x(548),1151,1380,999
mom_x(549),1151,1381,1000
mom_x(550),1151,1382,1000
mom_x(551),1150,1383,1000
mom_x(552),1149,1384,1000
mom_x(553),1149,1384,1000
mom_x(554),1150,1385,1000
mom_x(555),1151,1385,1001
mom_x(556),1152,1386,1002
mom_x(557),1152,1386,1002
mom_x(558),1152,1386,1002
mom_x(559),1152,1387,1002
mom_x(560),1152,1387,1003
mom_x(561),1153,1388,1004
mom_x(562),1152,1389,1005
mom_x(563),1152,1390,1006
mom_x(564),1153,1391,1006
mom_x(565),1153,1391,1006
mom_x(566),1153,1391,1006
mom_x(567),1153,1392,1006
mom_x(568),1153,1393,1007
mom_x(569),1153,1394,1008
mom_x(570),1154,1395,1009
mom_x(571),1153,1396,1010
mom_x(572),1153,1397,1010
mom_x(573),1153,1398,1011
mom_x(574),1154,1398,1011
mom_x(575),1154,1398,1011
mom_x(576),1155,1399,1011
mom_x(577),1155,1400,1012
mom_x(578),1156,1402,1012
mom_x(579),1155,1403,1013
mom_x(580),1156,1404,1015
mom_x(581),1156,1405,1014
mom_x(582),1158,1405,1014
mom_x(583),1157,1405,1014
mom_x(584),1157,1406,1015
mom_x(585),1156,1406,1016
mom_x(586),1156,1407,1017
mom_x(587),1157,1409,1017
mom_x(588),1157,1410,1017
mom_x(589),1157,1411,1018
mom_x(590),1157,1412,1019
mom_x(591),1156,1412,1020
mom_x(592),1157,1413,1021
mom_x(593),1157,1413,1021
mom_x(594),1157,1414,1020
mom_x(595),1158,1415,1021
mom_x(596),1159,1416,1021
mom_x(597),1159,1417,1022
mom_x(598),1159,1418,1023
mom_x(599),1159,1419,1024
mom_x(600),1158,1420,1023
mom_x(601),1159,1420,1024
mom_x(602),1159,1420,1024
mom_x(603),1159,1421,1025
mom_x(604),1159,1422,1026
mom_x(605),1160,1423,1027
mom_x(606),1160,1424,1026
mom_x(607),1159,1426,1026
mom_x(608),1160,1426,1026
mom_x(609),1159,1427,1027
mom_x(610),1159,1427,1027
mom_x(611),1160,1427,1028
mom_x(612),1159,1428,1029
mom_x(613),1159,1429,1029
mom_x(614),1159,1431,1029
mom_x(615),1159,1432,1029
mom_x(616),1160,1433,1029
mom_x(617),1160,1434,1030
mom_x(618),1160,1434,1030
mom_x(619),1160,1434,1031
mom_x(620),1160,1435,1032
mom_x(621),1160,1435,1032
mom_x(622),1161,1436,1032
mom_x(623),1160,1438,1032
mom_x(624),1160,1439,1032
mom_x(625),1160,1440,1033
mom_x(626),1160,1441,1033
mom_x(627),1161,1441,1034
mom_x(628),1162,1441,1035
mom_x(629),1162,1441,1035
mom_x(630),1162,1442,1036
mom_x(631),1162,1444,1037
mom_x(632),1162,1445,1038
mom_x(633),1163,1446,1038
mom_x(634),1163,1447,1038
mom_x(635),1163,1448,1038
mom_x(636),1163,1448,1039
mom_x(637),1163,1449,1039
mom_x(638),1163,1449,1040
mom_x(639),1163,1450,1041
mom_x(640),1163,1450,1041
mom_x(641),1164,1452,1041
mom_x(642),1164,1453,1043
mom_x(643),1164,1454,1044
mom_x(644),1164,1455,1045
mom_x(645),1164,1455,1045
mom_x(646),1164,1455,1046
mom_x(647),1164,1456,1046
mom_x(648),1164,1457,1046
mom_x(649),1164,1458,1047
mom_x(650),1165,1458,1048
mom_x(651),1165,1459,1049
mom_x(652),1166,1459,1049
mom_x(653),1166,1461,1049
mom_x(654),1166,1461,1050
mom_x(655),1166,1461,1051
mom_x(656),1166,1462,1052
mom_x(657),1165,1462,1052
mom_x(658),1165,1463,1053
mom_x(659),1166,1464,1053
mom_x(660),1166,1465,1053
mom_x(661),1166,1465,1054
mom_x(662),1166,1466,1056
mom_x(663),1166,1467,1057
mom_x(664),1166,1468,1057
mom_x(665),1166,1468,1057
mom_x(666),1166,1468,1058
mom_x(667),1166,1469,1058
mom_x(668),1167,1469,1060
mom_x(669),1168,1470,1061
mom_x(670),1168,1470,1061
mom_x(671),1167,1471,1061
mom_x(672),1168,1472,1061
mom_x(673),1168,1473,1062
mom_x(674),1168,1474,1063
mom_x(675),1168,1475,1064
mom_x(676),1168,1475,1065
mom_x(677),1169,1475,1065
mom_x(678),1169,1476,1066
mom_x(679),1169,1476,1067
mom_x(680),1169,1477,1068
mom_x(681),1169,1478,1069
mom_x(682),1169,1479,1069
mom_x(683),1169,1480,1069
mom_x(684),1169,1480,1069
mom_x(685),1169,1482,1071
mom_x(686),1169,1482,1072
mom_x(687),1169,1482,1073
mom_x(688),1169,1482,1073
mom_x(689),1169,1483,1073
mom_x(690),1169,1484,1074
mom_x(691),1169,1485,1074
mom_x(692),1168,1486,1075
mom_x(693),1168,1486,1075
mom_x(694),1169,1487,1076
mom_x(695),1170,1488,1076
mom_x(696),1169,1489,1076
mom_x(697),1170,1489,1077
mom_x(698),1170,1489,1078
mom_x(699),1170,1490,1079
mom_x(700),1170,1491,1079
mom_x(701),1169,1492,1079
mom_x(702),1169,1493,1080
mom_x(703),1168,1494,1080
mom_x(704),1166,1495,1081
mom_x(705),1166,1495,1081
mom_x(706),1167,1496,1082
mom_x(707),1167,1496,1083
mom_x(708),1167,1497,1082
mom_x(709),1167,1498,1083
mom_x(710),1167,1498,1083
mom_x(711),1168,1499,1084
mom_x(712),1168,1500,1084
mom_x(713),1168,1501,1085
mom_x(714),1168,1502,1086
mom_x(715),1168,1503,1085
mom_x(716),1168,1503,1086
mom_x(717),1168,1503,1086
mom_x(718),1168,1504,1086
mom_x(719),1168,1504,1087
mom_x(720),1168,1506,1088
mom_x(721),1169,1507,1088
mom_x(722),1169,1508,1088
mom_x(723),1169,1508,1089
mom_x(724),1169,1509,1089
mom_x(725),1170,1509,1089
mom_x(726),1170,1509,1090
mom_x(727),1170,1510,1091
mom_x(728),1170,1511,1091
mom_x(729),1170,1512,1091
mom_x(730),1170,1513,1092
mom_x(731),1170,1514,1092
mom_x(732),1171,1515,1092
mom_x(733),1171,1515,1093
mom_x(734),1171,1516,1095
mom_x(735),1171,1516,1095
mom_x(736),1171,1517,1095
mom_x(737),1172,1517,1096
mom_x(738),1172,1520,1096
mom_x(739),1172,1520,1097
mom_x(740),1172,1521,1098
mom_x(741),1172,1521,1100
mom_x(742),1172,1522,1101
mom_x(743),1172,1522,1100
mom_x(744),1173,1522,1100
mom_x(745),1173,1523,1101
mom_x(746),1174,1524,1102
mom_x(747),1175,1524,1102
mom_x(748),1174,1525,1103
mom_x(749),1175,1525,1104
mom_x(750),1174,1524,1104
mom_x(751),1174,1524,1104
mom_x(752),1175,1524,1105
mom_x(753),1175,1524,1105
mom_x(754),1176,1524,1105
mom_x(755),1176,1524,1106
mom_x(756),1176,1524,1107
mom_x(757),1175,1524,1107
mom_x(758),1174,1524,1108
mom_x(759),1174,1524,1109
mom_x(760),1174,1523,1110
mom_x(761),1174,1524,1110
mom_x(762),1175,1524,1111
mom_x(763),1177,1525,1111
mom_x(764),1177,1526,1111
mom_x(765),1177,1526,1112
mom_x(766),1177,1526,1113
mom_x(767),1177,1526,1113
mom_x(768),1177,1526,1114
mom_x(769),1177,1527,1115
mom_x(770),1178,1527,1116
mom_x(771),1178,1528,1116
mom_x(772),1178,1528,1117
mom_x(773),1178,1529,1118
mom_x(774),1178,1530,1118
mom_x(775),1178,1530,1118
mom_x(776),1178,1531,1119
mom_x(777),1179,1530,1120
mom_x(778),1179,1531,1120
